episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon,mean_loss,optimization_steps,replay_buffer_size,elapsed_seconds
67,0.56959011,10.27505086,1,26,0.00813472,0.71832888,0.04392466,6018,6517,46.1459
68,0.06998760,17.41724174,1,12,0.02043701,0.71473724,0.04422508,6030,6529,46.2393
69,0.68878850,1.89545545,1,43,0.03276421,0.71116355,0.03751316,6073,6572,46.5482
70,-0.55414183,18.76620300,1,31,0.00877319,0.70760773,0.03496396,6104,6603,46.8065
71,-0.61366558,1.82324140,1,61,0.01533692,0.70406970,0.04037266,6165,6664,47.2793
72,-0.68707503,8.11380719,1,45,0.00664248,0.70054935,0.04028667,6210,6709,47.5837
73,0.36462124,16.78580164,1,87,0.00586565,0.69704660,0.04782314,6297,6796,48.1256
74,0.32374084,15.10191720,1,23,0.03155932,0.69356137,0.04342721,6320,6819,48.2980
75,-0.52420837,13.05826097,1,23,0.02703532,0.69009356,0.03924985,6343,6842,48.4835
76,0.60001882,11.92169971,1,36,0.02817935,0.68664309,0.03718742,6379,6878,48.7320
77,0.68910343,2.61131373,1,35,0.01477757,0.68320988,0.04242801,6414,6913,48.9968
78,0.72998464,4.60652323,1,92,0.00362381,0.67979383,0.04046322,6506,7005,49.5979
79,0.56598649,-1.65543125,1,57,0.03016835,0.67639486,0.04847906,6563,7062,49.9352
80,0.21250529,10.83956697,1,66,0.00259239,0.67301288,0.03896007,6629,7128,50.3564
81,0.52056412,8.94118120,1,35,0.00507575,0.66964782,0.03695054,6664,7163,50.5637
82,0.29176298,16.21336243,1,16,0.01760719,0.66629958,0.03770769,6680,7179,50.6687
83,0.45640498,14.14051438,1,22,0.02188122,0.66296808,0.03607933,6702,7201,50.8128
84,0.56279917,10.98941785,1,30,0.01745122,0.65965324,0.03678932,6732,7231,51.0139
85,-0.79011828,5.89348239,1,32,0.03879482,0.65635498,0.04860799,6764,7263,51.2229
86,-0.70005349,11.94571509,1,66,0.01778430,0.65307320,0.04312077,6830,7329,51.6250
87,0.25468688,19.29811846,1,23,0.02759062,0.64980784,0.03910314,6853,7352,51.7708
88,-0.18509380,15.73394857,1,22,0.00885659,0.64655880,0.03654958,6875,7374,51.9368
89,-0.07475137,24.83753430,1,22,0.03497539,0.64332600,0.04022628,6897,7396,52.0909
90,0.23434165,20.59294760,1,38,0.02585971,0.64010937,0.04068584,6935,7434,52.4360
91,-0.57183788,14.20782145,1,34,0.00408679,0.63690883,0.04212137,6969,7468,52.7927
92,0.76024203,4.53867309,1,70,0.00231916,0.63372428,0.04520966,7039,7538,53.4084
93,0.74955597,3.03968671,1,52,0.01511379,0.63055566,0.04174351,7091,7590,53.8198
94,0.07717185,17.42332088,1,10,0.02772451,0.62740288,0.04068881,7101,7600,53.8971
95,-0.59609277,10.51198270,1,34,0.00799962,0.62426587,0.04284551,7135,7634,54.1436
96,0.57309128,12.84200048,1,22,0.00423964,0.62114454,0.04112880,7157,7656,54.3095
97,0.11699230,17.16001781,1,12,0.00776462,0.61803882,0.04190734,7169,7668,54.4004
98,-0.13318000,17.11663991,1,14,0.00389296,0.61494862,0.04539293,7183,7682,54.5233
99,0.26819208,16.27105733,1,16,0.00392361,0.61187388,0.04071412,7199,7698,54.6301
100,0.37807441,15.10991168,1,21,0.01018713,0.60881451,0.04362986,7220,7719,54.7623
101,-0.76433589,5.49729361,1,46,0.01241401,0.60577044,0.05107823,7266,7765,55.0604
102,-0.13868774,16.82394497,1,15,0.00479343,0.60274158,0.05802149,7281,7780,55.1476
103,0.46841894,13.63720138,1,34,0.00003867,0.59972788,0.04558386,7315,7814,55.3625
104,0.16100889,16.42785598,1,18,0.01008288,0.59672924,0.04898410,7333,7832,55.4735
105,0.48080647,10.58982076,1,28,0.01965366,0.59374559,0.04580299,7361,7860,55.6681
106,0.78317869,5.80606695,1,60,0.02061176,0.59077686,0.04524925,7421,7920,56.0325
107,0.21991880,15.81006427,1,20,0.00049276,0.58782298,0.04606832,7441,7940,56.1481
108,-0.66875888,-2.17427294,1,70,0.01595180,0.58488386,0.04119987,7511,8010,56.5641
109,-0.79228473,-3.07560087,1,129,0.02232859,0.58195944,0.05213275,7640,8139,57.3091
110,-0.01312985,20.54774341,1,12,0.00647795,0.57904965,0.04687151,7652,8151,57.3882
111,-0.45034768,13.70387886,1,30,0.02450439,0.57615440,0.04280905,7682,8181,57.5715
112,0.69628604,9.43138383,1,27,0.00272479,0.57327363,0.04805441,7709,8208,57.7418
113,0.13415465,17.04537625,1,12,0.00790176,0.57040726,0.04387560,7721,8220,57.8527
114,-0.30163228,19.87770621,1,53,0.01466971,0.56755522,0.05085797,7774,8273,58.2051
115,-0.57804783,12.34544469,1,23,0.00402589,0.56471745,0.05067040,7797,8296,58.3535
116,-0.37905325,13.91552757,1,22,0.01829138,0.56189386,0.05675243,7819,8318,58.5031
117,0.75061035,6.22491249,1,69,0.03050114,0.55908439,0.05624519,7888,8387,58.9240
118,0.49590573,6.75683522,1,37,0.01606511,0.55628897,0.04706295,7925,8424,59.1320
119,0.08735987,17.10524961,1,13,0.00441138,0.55350752,0.05679400,7938,8437,59.2066
120,-0.05022463,17.68661143,1,9,0.00555725,0.55073999,0.04040361,7947,8446,59.2557
121,-0.68525151,16.27874656,1,41,0.00483339,0.54798629,0.05318606,7988,8487,59.4945
122,0.49062578,12.70770444,1,23,0.01130749,0.54524635,0.05777283,8011,8510,59.6348
123,-0.68313555,5.07775197,1,34,0.00729887,0.54252012,0.05595596,8045,8544,59.8398
124,-0.05970927,21.50015342,1,35,0.00780792,0.53980752,0.05316523,8080,8579,60.0678
125,0.34598603,12.99931339,1,41,0.01685269,0.53710848,0.05721376,8121,8620,60.3085
126,-0.61495309,-1.01487716,1,46,0.00347148,0.53442294,0.05723900,8167,8666,60.5755
127,-0.36764067,15.07232896,1,20,0.00630173,0.53175083,0.05206580,8187,8686,60.7096
128,-0.03759965,17.69304296,1,8,0.00010750,0.52909207,0.04613590,8195,8694,60.7759
129,0.45986960,14.69802390,1,19,0.02649935,0.52644661,0.05323348,8214,8713,60.9118
130,-0.63600907,4.32052089,1,60,0.02688665,0.52381438,0.05595894,8274,8773,61.3144
131,-0.52763299,11.67813758,1,26,0.01220301,0.52119531,0.05318268,8300,8799,61.5191
132,-0.69070974,3.08446094,1,56,0.00950129,0.51858933,0.06329795,8356,8855,61.8798
133,0.67320188,6.72920496,1,56,0.00683086,0.51599638,0.05547853,8412,8911,62.2477
134,0.10124802,14.88966655,1,85,0.00663291,0.51341640,0.04915047,8497,8996,62.8207
135,0.65407451,5.71194901,1,36,0.02367423,0.51084932,0.06761253,8533,9032,63.0542
136,-0.02240328,17.57132302,1,8,0.01617310,0.50829507,0.05736720,8541,9040,63.1098
137,0.41732411,11.79667536,1,29,0.02088361,0.50575360,0.05311443,8570,9069,63.2907
138,0.66891125,11.00438828,1,28,0.00185700,0.50322483,0.05169794,8598,9097,63.4702
139,0.12169016,17.03374514,1,17,0.00260956,0.50070871,0.06190078,8615,9114,63.5906
140,0.45796682,11.53451230,1,28,0.02384691,0.49820516,0.06456441,8643,9142,63.8715
141,-0.53443635,13.39656302,1,37,0.00379932,0.49571414,0.06262669,8680,9179,64.1253
142,0.72231445,8.75988755,1,32,0.01583381,0.49323557,0.06440225,8712,9211,64.3511
143,-0.77154935,9.11547580,1,48,0.00931720,0.49076939,0.06354078,8760,9259,64.7001
144,-0.44867504,13.56710130,1,23,0.01221314,0.48831554,0.07914574,8783,9282,64.8421
145,0.07560709,17.27014707,1,10,0.00218409,0.48587396,0.07154620,8793,9292,64.9031
