episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon,mean_loss,optimization_steps,replay_buffer_size,elapsed_seconds
67,0.56959011,18.51224603,1,63,0.01603376,0.36880026,0.07977476,4305,4804,33.0721
68,0.06998760,17.45638510,1,10,0.00276516,0.36326825,0.07536698,4315,4814,33.1558
69,0.68878850,13.09908955,1,31,0.03333035,0.35781923,0.06524615,4346,4845,33.3868
70,-0.55414183,13.40172665,1,30,0.02624903,0.35245194,0.09066471,4376,4875,33.6499
71,-0.61366558,11.99373912,1,23,0.01843024,0.34716516,0.06238990,4399,4898,33.8191
72,-0.68707503,8.72290197,1,29,0.02927682,0.34195768,0.05420127,4428,4927,33.9984
73,0.36462124,15.26456989,1,20,0.02875052,0.33682832,0.08747918,4448,4947,34.1530
74,0.32374084,15.87456200,1,18,0.00562516,0.33177589,0.06887545,4466,4965,34.2748
75,-0.52420837,18.73429437,1,25,0.00264815,0.32679925,0.06706067,4491,4990,34.4590
76,0.60001882,12.01468397,1,27,0.01919855,0.32189727,0.08584392,4518,5017,34.6503
77,0.68910343,10.89718194,1,31,0.00336641,0.31706881,0.08114058,4549,5048,34.8543
78,0.72998464,16.74006233,1,42,0.01673399,0.31231277,0.07404771,4591,5090,35.1230
79,0.56598649,13.22398825,1,24,0.02078864,0.30762808,0.05830316,4615,5114,35.2920
80,0.21250529,16.82888321,1,16,0.00823838,0.30301366,0.06469684,4631,5130,35.3988
81,0.52056412,14.28305673,1,20,0.02332147,0.29846846,0.06422650,4651,5150,35.5386
82,0.29176298,16.04391178,1,16,0.01959326,0.29399143,0.06647795,4667,5166,35.6453
83,0.45640498,15.00113184,1,20,0.00881470,0.28958156,0.06695795,4687,5186,35.8201
84,0.56279917,11.97957561,1,25,0.02087989,0.28523783,0.06023452,4712,5211,36.0490
85,-0.79011828,9.73985366,1,24,0.00380401,0.28095927,0.07496945,4736,5235,36.2141
86,-0.70005349,9.53463871,1,30,0.00236370,0.27674488,0.07657491,4766,5265,36.4045
87,0.25468688,16.19702005,1,18,0.02899721,0.27259371,0.09360163,4784,5283,36.5061
88,-0.18509380,16.90285615,1,13,0.02008527,0.26850480,0.05374527,4797,5296,36.5917
89,-0.07475137,17.54762450,1,10,0.02132179,0.26447723,0.08520946,4807,5306,36.6566
90,0.23434165,15.52057218,1,22,0.02144914,0.26051007,0.05764408,4829,5328,36.8219
91,-0.57183788,13.09532495,1,22,0.02510188,0.25660242,0.06245909,4851,5350,36.9736
92,0.76024203,11.23132112,1,23,0.01401165,0.25275338,0.07207656,4874,5373,37.1046
93,0.74955597,12.90120788,1,30,0.00431849,0.24896208,0.07536811,4904,5403,37.2711
94,0.07717185,17.42717333,1,14,0.01040742,0.24522765,0.07633330,4918,5417,37.3485
95,-0.59609277,9.65805068,1,32,0.01733707,0.24154924,0.07830346,4950,5449,37.5417
96,0.57309128,13.26509346,1,21,0.01718516,0.23792600,0.05187680,4971,5470,37.6806
97,0.11699230,17.56508109,1,12,0.02485107,0.23435711,0.05495464,4983,5482,37.7544
98,-0.13318000,22.94821484,1,19,0.00915872,0.23084175,0.06297739,5002,5501,37.8842
99,0.26819208,15.32369391,1,21,0.00648601,0.22737912,0.08322145,5023,5522,38.0462
100,0.37807441,14.60520891,1,20,0.01148991,0.22396844,0.06721293,5043,5542,38.2135
101,-0.76433589,26.43156993,1,54,0.00586685,0.22060891,0.06601310,5097,5596,38.6326
102,-0.13868774,16.69800669,1,17,0.00387702,0.21729978,0.07858777,5114,5613,38.7772
103,0.46841894,14.66110201,1,19,0.00323354,0.21404028,0.06553886,5133,5632,38.9439
104,0.16100889,16.90203172,1,17,0.01305456,0.21082968,0.06174520,5150,5649,39.0640
105,0.48080647,14.22186977,1,19,0.01746015,0.20766723,0.06737747,5169,5668,39.1949
106,0.78317869,9.40369525,1,26,0.03704453,0.20455222,0.06609907,5195,5694,39.3709
107,0.21991880,20.34230098,1,19,0.02648467,0.20148394,0.06744514,5214,5713,39.4848
108,-0.66875888,12.23843742,1,22,0.01102638,0.19846168,0.07676680,5236,5735,39.6307
109,-0.79228473,2.80942476,1,37,0.00662176,0.19548475,0.07153204,5273,5772,39.8966
110,-0.01312985,17.75091801,1,8,0.02250659,0.19255248,0.06810821,5281,5780,39.9396
111,-0.45034768,14.81579703,1,17,0.03450444,0.18966420,0.07730203,5298,5797,40.0447
112,0.69628604,10.42725125,1,25,0.01665794,0.18681923,0.06398658,5323,5822,40.2201
113,0.13415465,17.18042239,1,17,0.00757466,0.18401694,0.07039174,5340,5839,40.3180
114,-0.30163228,21.19658469,1,26,0.01013549,0.18125669,0.07641416,5366,5865,40.4746
115,-0.57804783,14.05072100,1,26,0.01762516,0.17853784,0.05453243,5392,5891,40.6309
116,-0.37905325,15.76104839,1,16,0.00235726,0.17585977,0.05872173,5408,5907,40.7301
117,0.75061035,10.51117697,1,24,0.01012516,0.17322188,0.06054807,5432,5931,40.8664
