configuration,epsilon_decay,training_episodes,training_time_seconds,final_epsilon,final_20_mean_training_reward,final_50_training_success_rate,evaluation_successes,evaluation_episodes,evaluation_success_rate,mean_evaluation_reward,mean_episode_length,mean_final_absolute_error,mean_hold_actions,mean_action_changes
Configuration A (0.995),0.995,1000,194.7413238009999,0.05,14.361483434668553,1.0,20,20,1.0,13.179635346410217,19.5,0.01162997684638449,4.75,6.5
Configuration B (0.985),0.985,1000,144.21966752499975,0.05,14.382342099885937,1.0,20,20,1.0,13.158829327332203,19.75,0.012681070928700397,4.5,6.25
