simulation_time,target_angle_rad,joint_angle_rad,joint_velocity_rad_s,angle_error_rad,commanded_torque_nm
0.782000,-0.800000,-0.798548,-0.032312,-0.001452,-1.626927
0.792000,-0.800000,-0.798880,-0.033942,-0.001120,-1.618488
0.802000,-0.800000,-0.799230,-0.035729,-0.000770,-1.609282
0.812000,-0.800000,-0.799599,-0.037663,-0.000401,-1.599284
0.822000,-0.800000,-0.799988,-0.039732,-0.000012,-1.588493
0.832000,-0.800000,-0.800399,-0.041935,0.000399,-1.576884
0.842000,-0.800000,-0.800832,-0.044280,0.000832,-1.564413
0.852000,-0.800000,-0.801290,-0.046772,0.001290,-1.551039
0.862000,-0.800000,-0.801773,-0.049411,0.001773,-1.536726
0.872000,-0.800000,-0.802284,-0.052195,0.002284,-1.521448
0.882000,-0.800000,-0.802823,-0.055120,0.002823,-1.505182
0.892000,-0.800000,-0.803393,-0.058180,0.003393,-1.487910
0.902000,-0.800000,-0.803993,-0.061372,0.003993,-1.469616
0.912000,-0.800000,-0.804627,-0.064691,0.004627,-1.450284
0.922000,-0.800000,-0.805294,-0.068131,0.005294,-1.429899
0.932000,-0.800000,-0.805997,-0.071690,0.005997,-1.408449
0.942000,-0.800000,-0.806736,-0.075362,0.006736,-1.385921
0.952000,-0.800000,-0.807512,-0.079149,0.007512,-1.362303
0.962000,-0.800000,-0.808329,-0.084242,0.008329,-1.337573
0.972000,-0.800000,-0.809266,-0.099113,0.009266,-1.293979
0.982000,-0.800000,-0.810284,-0.098530,0.010284,-1.263003
0.992000,-0.800000,-0.811310,-0.106881,0.011310,-1.227183
1.002000,-0.800000,-0.812339,-0.101161,0.012339,-1.218119
1.012000,-0.800000,-0.813352,-0.100291,0.013352,-1.194218
1.022000,-0.800000,-0.814315,-0.093191,0.014315,-1.186230
1.032000,-0.800000,-0.815198,-0.084790,0.015198,-1.183765
1.042000,-0.800000,-0.815994,-0.076284,0.015994,-1.183686
1.052000,-0.800000,-0.816710,-0.068594,0.016710,-1.184111
1.062000,-0.800000,-0.817357,-0.062410,0.017357,-1.183351
1.072000,-0.800000,-0.817954,-0.058209,0.017954,-1.179972
1.082000,-0.800000,-0.818523,-0.056248,0.018523,-1.172917
1.092000,-0.800000,-0.819086,-0.056672,0.019086,-1.161336
1.102000,-0.800000,-0.819668,-0.059538,0.019668,-1.144529
1.112000,-0.800000,-0.820293,-0.064823,0.020293,-1.121969
1.122000,-0.800000,-0.820985,-0.072453,0.020985,-1.093251
1.132000,-0.800000,-0.821767,-0.082355,0.021767,-1.058021
1.142000,-0.800000,-0.822661,-0.094362,0.022661,-1.016071
1.152000,-0.800000,-0.823688,-0.108821,0.023688,-0.967324
1.162000,-0.800000,-0.824886,-0.127083,0.024886,-0.905996
1.172000,-0.800000,-0.826264,-0.144873,0.026264,-0.841163
1.182000,-0.800000,-0.827819,-0.162714,0.027819,-0.772883
1.192000,-0.800000,-0.829588,-0.188567,0.029588,-0.686254
1.202000,-0.800000,-0.831596,-0.208209,0.031596,-0.600679
1.212000,-0.800000,-0.833769,-0.223894,0.033769,-0.520327
1.222000,-0.800000,-0.836132,-0.252383,0.036132,-0.419206
1.232000,-0.800000,-0.838677,-0.252671,0.038677,-0.352332
1.242000,-0.800000,-0.841143,-0.242340,0.041143,-0.319620
1.252000,-0.800000,-0.843520,-0.235597,0.043520,-0.285326
1.262000,-0.800000,-0.845931,-0.251719,0.045931,-0.210153
1.272000,-0.800000,-0.848461,-0.252165,0.048461,-0.148502
1.282000,-0.800000,-0.850999,-0.259845,0.050999,-0.083863
1.292000,-0.800000,-0.853578,-0.255268,0.053578,-0.033761
1.302000,-0.800000,-0.856229,-0.265499,0.056229,0.042339
1.312000,-0.800000,-0.858847,-0.263979,0.058847,0.083284
1.322000,-0.800000,-0.861475,-0.257268,0.061475,0.137784
1.332000,-0.800000,-0.864028,-0.250214,0.064028,0.176871
1.342000,-0.800000,-0.866451,-0.238553,0.066451,0.198755
1.352000,-0.800000,-0.868759,-0.227607,0.068759,0.217776
1.362000,-0.800000,-0.870928,-0.208766,0.070928,0.229540
1.372000,-0.800000,-0.873009,-0.207712,0.073009,0.254947
1.382000,-0.800000,-0.874911,-0.182017,0.074911,0.241019
